"name"                                                                                      ,"source"    ,"page" ,"rarity"          ,"reqAttune"                                                       ,"reqAttuneTags" ,"wondrous" ,"bonusSpellAttack" ,"bonusSpellSaveDc" ,"focus" ,"entries"
"Spire of Conflux (Awakened)"                                                               ,"TDCSR"     ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Spire of Conflux (Dormant)"                                                                ,"TDCSR"     ,"209"  ,"legendary"       ,"by a spellcaster"                                                ,""              ,""         ,"+1"               ,"+1"               ,""      ,""
"Spire of Conflux (Exalted)"                                                                ,"TDCSR"     ,""     ,""                ,""                                                                ,""              ,""         ,"+2"               ,"+2"               ,""      ,""
"Sprig of Mistletoe"                                                                        ,"PHB"       ,"151"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Spyglass"                                                                                  ,"PHB"       ,"153"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Spyglass of Clairvoyance"                                                                  ,"AI"        ,"19"   ,"common"          ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Spymaster's Signet"                                                                        ,"DoDk"      ,"233"  ,"legendary"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Squid Ship"                                                                                ,"AAG"       ,"48"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Stabling (per day)"                                                                        ,"PHB"       ,"157"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Staff of Adornment"                                                                        ,"XGE"       ,"139"  ,"common"          ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Staff of Birdcalls"                                                                        ,"XGE"       ,"139"  ,"common"          ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Staff of Charming"                                                                         ,"DMG"       ,"201"  ,"rare"            ,"by a bard, cleric, druid, sorcerer, warlock, or wizard"          ,""              ,""         ,""                 ,""                 ,""      ,""
"Staff of Contaminated Power"                                                               ,"DoDk"      ,"232"  ,"legendary"       ,"by a sorcerer, warlock, or wizard"                               ,""              ,""         ,""                 ,""                 ,""      ,""
"Staff of Defense"                                                                          ,"LMoP"      ,"53"   ,"rare"            ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Staff of Defense"                                                                          ,"PaBTSO"    ,"220"  ,"rare"            ,"by a bard, sorcerer, warlock, or wizard"                         ,""              ,""         ,""                 ,""                 ,""      ,""
"Staff of Dunamancy"                                                                        ,"EGW"       ,"270"  ,"very rare"       ,"by a wizard"                                                     ,""              ,""         ,""                 ,""                 ,""      ,""
"Staff of Fate"                                                                             ,"CM"        ,"183"  ,"very rare"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Staff of Fire"                                                                             ,"DMG"       ,"201"  ,"very rare"       ,"by a druid, sorcerer, warlock, or wizard"                        ,""              ,""         ,""                 ,""                 ,""      ,""
"Staff of Flowers"                                                                          ,"XGE"       ,"139"  ,"common"          ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Staff of Frost"                                                                            ,"DMG"       ,"202"  ,"very rare"       ,"by a druid, sorcerer, warlock, or wizard"                        ,""              ,""         ,""                 ,""                 ,""      ,""
"Staff of Healing"                                                                          ,"DMG"       ,"202"  ,"rare"            ,"by a bard, cleric, or druid"                                     ,""              ,""         ,""                 ,""                 ,""      ,""
"Staff of Power"                                                                            ,"DMG"       ,"202"  ,"very rare"       ,"by a sorcerer, warlock, or wizard"                               ,""              ,""         ,"+2"               ,""                 ,""      ,""
"Staff of Striking"                                                                         ,"DMG"       ,"203"  ,"very rare"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Staff of Swarming Insects"                                                                 ,"DMG"       ,"203"  ,"rare"            ,"by a bard, cleric, druid, sorcerer, warlock, or wizard"          ,""              ,""         ,""                 ,""                 ,""      ,""
"Staff of the Adder"                                                                        ,"DMG"       ,"203"  ,"uncommon"        ,"by a cleric, druid, or warlock"                                  ,""              ,""         ,""                 ,""                 ,""      ,""
"Staff of the Forgotten One"                                                                ,"ToA"       ,"208"  ,"artifact"        ,"by a sorcerer, warlock, or wizard"                               ,""              ,""         ,""                 ,""                 ,""      ,""
"Staff of the Ivory Claw"                                                                   ,"EGW"       ,"270"  ,"rare"            ,"by a spellcaster"                                                ,""              ,""         ,"+1"               ,""                 ,""      ,""
"Staff of the Magi"                                                                         ,"DMG"       ,"203"  ,"legendary"       ,"by a sorcerer, warlock, or wizard"                               ,""              ,""         ,"+2"               ,""                 ,""      ,""
"Staff of the Python"                                                                       ,"DMG"       ,"204"  ,"uncommon"        ,"by a cleric, druid, or warlock"                                  ,""              ,""         ,""                 ,""                 ,""      ,""
"Staff of the Rooted Hills"                                                                 ,"BGG"       ,"116"  ,"rare"            ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Staff of the Woodlands"                                                                    ,"DMG"       ,"204"  ,"rare"            ,"by a druid"                                                      ,""              ,""         ,"+2"               ,""                 ,""      ,""
"Staff of Thunder and Lightning"                                                            ,"DMG"       ,"204"  ,"very rare"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Staff of Withering"                                                                        ,"DMG"       ,"205"  ,"rare"            ,"by a cleric, druid, or warlock"                                  ,""              ,""         ,""                 ,""                 ,""      ,""
"Star Moth"                                                                                 ,"AAG"       ,"50"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Star Razor (Awakened)"                                                                     ,"TDCSR"     ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Star Razor (Dormant)"                                                                      ,"TDCSR"     ,"210"  ,"legendary"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Star Razor (Exalted)"                                                                      ,"TDCSR"     ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Star rose quartz"                                                                          ,"DMG"       ,"134"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Star Ruby"                                                                                 ,"DMG"       ,"134"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Star Sapphire"                                                                             ,"DMG"       ,"134"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Statuette of Augury"                                                                       ,"PaBTSO"    ,"62"   ,"unknown (magic)" ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Statuette of Saint Markovia"                                                               ,"CoS"       ,"152"  ,"unknown (magic)" ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Steel"                                                                                     ,"WBtW"      ,"214"  ,"very rare"       ,"by a good-aligned creature"                                      ,""              ,""         ,""                 ,""                 ,""      ,""
"Steel Mirror"                                                                              ,"PHB"       ,"150"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Steward's Seal"                                                                            ,"DoDk"      ,"233"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Stink Bomb"                                                                                ,"TDCSR"     ,"100"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Stirring Dragon Vessel"                                                                    ,"FTD"       ,""     ,"rare"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Stirring Dragon-Touched Focus"                                                             ,"FTD"       ,""     ,"rare"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Stirring Scaled Ornament"                                                                  ,"FTD"       ,""     ,"rare"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Stone of Controlling Earth Elementals"                                                     ,"DMG"       ,"205"  ,"rare"            ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Stone of Creation"                                                                         ,"AitFR-AVT" ,"10"   ,"artifact"        ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Stone of Golorr"                                                                           ,"WDH"       ,"192"  ,"artifact"        ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Stone of Good Luck"                                                                        ,"DMG"       ,"205"  ,"uncommon"        ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Stone of Ill Luck"                                                                         ,"TftYP"     ,"229"  ,"uncommon"        ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Stonebreaker's Breastplate"                                                                ,"BGG"       ,"116"  ,"legendary"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Stonemaker War Pick"                                                                       ,"BMT"       ,"68"   ,"very rare"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Stonespeaker Crystal"                                                                      ,"OotA"      ,"223"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Stonky's ring"                                                                             ,"CM"        ,"132"  ,"unknown (magic)" ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Storm Boomerang"                                                                           ,"PotA"      ,"223"  ,"uncommon"        ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Stormgirdle (Awakened)"                                                                    ,"EGW"       ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Stormgirdle (Dormant)"                                                                     ,"EGW"       ,"273"  ,"legendary"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Stormgirdle (Exalted)"                                                                     ,"EGW"       ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Stormrider Boots"                                                                          ,"TDCSR"     ,"197"  ,"rare"            ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Strixhaven Pennant"                                                                        ,"SCC"       ,"39"   ,"common"          ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Summer's Dance"                                                                            ,"TDCSR"     ,"197"  ,"rare"            ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Sun"                                                                                       ,"WDH"       ,"169"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Sun amulet on a beaded chain (Sun Empire)"                                                 ,"PSX"       ,"24"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Sun Blade"                                                                                 ,"DMG"       ,"205"  ,"rare"            ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Sun Staff"                                                                                 ,"BMT"       ,"39"   ,"rare"            ,"by a cleric, druid, or wizard"                                   ,""              ,""         ,""                 ,""                 ,""      ,""
"Sunbeam Compass"                                                                           ,"TDCSR"     ,"143"  ,"unknown (magic)" ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Sunforger"                                                                                 ,"GGR"       ,"181"  ,"rare"            ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Sunsword"                                                                                  ,"CoS"       ,"223"  ,"legendary"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Survival Mantle"                                                                           ,"VGM"       ,"81"   ,"unknown"         ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Suude (Blue)"                                                                              ,"TDCSR"     ,"85"   ,"unknown (magic)" ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Suude (Brown)"                                                                             ,"TDCSR"     ,"85"   ,"unknown (magic)" ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Suude (Red)"                                                                               ,"TDCSR"     ,"85"   ,"unknown (magic)" ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Sword of Answering (Answerer)"                                                             ,"DMG"       ,"206"  ,"legendary"       ,"by a chaotic good creature"                                      ,""              ,""         ,""                 ,""                 ,""      ,""
"Sword of Answering (Back Talker)"                                                          ,"DMG"       ,"206"  ,"legendary"       ,"by a chaotic evil creature"                                      ,""              ,""         ,""                 ,""                 ,""      ,""
"Sword of Answering (Concluder)"                                                            ,"DMG"       ,"206"  ,"legendary"       ,"by a lawful neutral creature"                                    ,""              ,""         ,""                 ,""                 ,""      ,""
"Sword of Answering (Last Quip)"                                                            ,"DMG"       ,"206"  ,"legendary"       ,"by a chaotic neutral creature"                                   ,""              ,""         ,""                 ,""                 ,""      ,""
"Sword of Answering (Rebutter)"                                                             ,"DMG"       ,"206"  ,"legendary"       ,"by a neutral good creature"                                      ,""              ,""         ,""                 ,""                 ,""      ,""
"Sword of Answering (Replier)"                                                              ,"DMG"       ,"206"  ,"legendary"       ,"by a neutral creature"                                           ,""              ,""         ,""                 ,""                 ,""      ,""
"Sword of Answering (Retorter)"                                                             ,"DMG"       ,"206"  ,"legendary"       ,"by a lawful good creature"                                       ,""              ,""         ,""                 ,""                 ,""      ,""
"Sword of Answering (Scather)"                                                              ,"DMG"       ,"206"  ,"legendary"       ,"by a lawful evil creature"                                       ,""              ,""         ,""                 ,""                 ,""      ,""
"Sword of Answering (Squelcher)"                                                            ,"DMG"       ,"206"  ,"legendary"       ,"by a neutral evil creature"                                      ,""              ,""         ,""                 ,""                 ,""      ,""
"Sword of Kas"                                                                              ,"DMG"       ,"226"  ,"artifact"        ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Sword of the Paruns"                                                                       ,"GGR"       ,"181"  ,"very rare"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Sword of Zariel"                                                                           ,"BGDIA"     ,"226"  ,"artifact"        ,"by a creature the sword deems worthy"                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Tablet of Reawakening"                                                                     ,"HAT-LMI"   ,""     ,"legendary"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Talarith"                                                                                  ,"BAM"       ,"47"   ,"legendary"       ,"by a reigar who created it"                                      ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Talisman of Pure Good"                                                                     ,"DMG"       ,"207"  ,"legendary"       ,"by a creature of good alignment"                                 ,""              ,"true"     ,"+2"               ,""                 ,""      ,""
"Talisman of the Sphere"                                                                    ,"DMG"       ,"207"  ,"legendary"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Talisman of Ultimate Evil"                                                                 ,"DMG"       ,"207"  ,"legendary"       ,"by a creature of evil alignment"                                 ,""              ,"true"     ,"+2"               ,""                 ,""      ,""
"Talking Doll"                                                                              ,"XGE"       ,"139"  ,"common"          ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Tangler Grenade"                                                                           ,"WDMM"      ,"244"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Tankard"                                                                                   ,"PHB"       ,"153"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Tankard of Plenty"                                                                         ,"HotDQ"     ,"74"   ,"unknown (magic)" ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Tankard of Sobriety"                                                                       ,"XGE"       ,"139"  ,"common"          ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Taol"                                                                                      ,"WDH"       ,"169"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Tearulai"                                                                                  ,"WDMM"      ,"70"   ,"very rare"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Teeth of Dahlver-Nar"                                                                      ,"TCE"       ,"135"  ,"artifact"        ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Tej"                                                                                       ,"ToA"       ,"32"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Teleportation Tablet"                                                                      ,"CRCotN"    ,"216"  ,"rare"            ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Teleporter Ring"                                                                           ,"WDH"       ,"157"  ,"unknown (magic)" ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Telescopic Transporter"                                                                    ,"BMT"       ,"105"  ,"legendary"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Tentacle Rod"                                                                              ,"DMG"       ,"208"  ,"rare"            ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"The Bloody End (Awakened)"                                                                 ,"EGW"       ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"The Bloody End (Dormant)"                                                                  ,"EGW"       ,"278"  ,"artifact"        ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"The Bloody End (Exalted)"                                                                  ,"EGW"       ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"The Codicil of White"                                                                      ,"IDRotF"    ,"317"  ,"unknown (magic)" ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"The Incantations of Iriolarthas"                                                           ,"IDRotF"    ,"317"  ,"unknown"         ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"The Infernal Machine of Lum the Mad"                                                       ,"IMR"       ,"96"   ,"artifact"        ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"The Shield of Sacred Flame"                                                                ,"DoDk"      ,"234"  ,"rare"            ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Theki Root"                                                                                ,"EGW"       ,"70"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Thermal Cube"                                                                              ,"IDRotF"    ,"316"  ,"common"          ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Thessaltoxin"                                                                              ,"IMR"       ,"93"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Thessaltoxin Antidote"                                                                     ,"IMR"       ,"95"   ,"uncommon"        ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Thieves' Tools"                                                                            ,"PHB"       ,"154"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Three-Dragon Ante Set"                                                                     ,"PHB"       ,"154"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Thunder Absorbing Tattoo"                                                                  ,"TCE"       ,"119"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Thunderbuss"                                                                               ,"BGG"       ,"116"  ,"very rare"       ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Tidecaller Trident"                                                                        ,"BMT"       ,"69"   ,"very rare"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Tiger Eye"                                                                                 ,"DMG"       ,"134"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Timepiece of Travel"                                                                       ,"AI"        ,"221"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Tinderbox"                                                                                 ,"PHB"       ,"153"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Tinderstrike"                                                                              ,"PotA"      ,"224"  ,"legendary"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Tinker's Tools"                                                                            ,"PHB"       ,"154"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Tinkertop Boltblaster 1000"                                                                ,"TDCSR"     ,"197"  ,"very rare"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Tiny jade figurine (River Heralds)"                                                        ,"PSX"       ,"24"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Titanstone Knuckles (Awakened)"                                                            ,"TDCSR"     ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Titanstone Knuckles (Dormant)"                                                             ,"TDCSR"     ,"211"  ,"legendary"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Titanstone Knuckles (Exalted)"                                                             ,"TDCSR"     ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Tome of Clear Thought"                                                                     ,"DMG"       ,"208"  ,"very rare"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Tome of Leadership and Influence"                                                          ,"DMG"       ,"208"  ,"very rare"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Tome of Strahd"                                                                            ,"CoS"       ,"221"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Tome of the Stilled Tongue"                                                                ,"DMG"       ,"208"  ,"legendary"       ,"by a wizard"                                                     ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Tome of Understanding"                                                                     ,"DMG"       ,"209"  ,"very rare"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Topaz"                                                                                     ,"DMG"       ,"134"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Topaz Annihilator"                                                                         ,"FTD"       ,"24"   ,"legendary"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Torch"                                                                                     ,"PHB"       ,"153"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Torpor"                                                                                    ,"DMG"       ,"258"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Totem"                                                                                     ,"PHB"       ,"151"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Tourmaline"                                                                                ,"DMG"       ,"134"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Travel Alchemical Kit"                                                                     ,"AI"        ,"30"   ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Traveler's Clothes"                                                                        ,"PHB"       ,"150"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Treasure chest crafted of exotic wood with gold fittings and opals (Brazen Coalition)"     ,"PSX"       ,"25"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Treebane"                                                                                  ,"CoS"       ,"198"  ,"unknown (magic)" ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Trident of Fish Command"                                                                   ,"DMG"       ,"209"  ,"uncommon"        ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Trinket"                                                                                   ,"AI"        ,"222"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Trinket"                                                                                   ,"CoS"       ,"2"    ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Trinket"                                                                                   ,"EET"       ,"1"    ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Trinket"                                                                                   ,"PHB"       ,"159"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"True-Ice Shards (Dagger)"                                                                  ,"CoA"       ,"275"  ,"artifact"        ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"True-Ice Shards (Rapier)"                                                                  ,"CoA"       ,"275"  ,"artifact"        ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Truth Serum"                                                                               ,"DMG"       ,"258"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Turquoise"                                                                                 ,"DMG"       ,"134"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Turtle Ship"                                                                               ,"AAG"       ,"52"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Two-Birds Sling"                                                                           ,"MOT"       ,"198"  ,"rare"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Two-Person Tent"                                                                           ,"PHB"       ,"153"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Tyrant Ship"                                                                               ,"AAG"       ,"54"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Unbreakable Arrow"                                                                         ,"XGE"       ,"139"  ,"common"          ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
